
[2026-02-19T16:22:26.679Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:22:44.657Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:23:42.835Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:24:04.808Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:24:17.092Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:26:48.348Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:27:10.813Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T22:09:35.133Z] PUT /1164 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T22:10:44.805Z] PUT /1161 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T22:11:51.705Z] PUT /1160 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
